date	CO	O3	NO2
20040116	28.51	0.62	86.52
20040117	25.88	0.62	85.05
20040118	29.78	0.70	78.48
20040119	27.74	0.64	84.88
20040120	28.04	0.57	93.00
20040121	24.27	0.60	84.70
20040122	26.51	0.60	92.51
20040123	30.15	0.60	98.46
20040124	25.09	0.71	74.07
20040125	18.97	0.81	55.57
20040126	27.09	0.59	83.55
20040127	27.26	0.64	88.46
20040128	26.25	0.59	91.99
20040129	34.54	0.58	105.13
20040130	32.71	0.85	91.67
20040131	17.02	1.00	59.26
20040201	21.85	0.86	76.01
20040202	29.29	0.82	95.39
20040203	22.58	0.81	83.48
20040204	21.33	0.76	72.99
20040205	28.22	0.59	92.93
20040206	31.70	0.63	103.28
20040207	30.40	0.82	86.65
20040208	24.03	0.92	74.50
20040209	27.85	0.79	99.23
20040210	26.86	0.74	99.09
20040211	30.83	0.69	102.30
20040212	30.18	0.71	101.83
20040213	29.94	0.61	110.11
20040214	32.73	0.67	99.93
20040215	26.88	0.82	78.27
20040216	24.76	0.76	91.07
20040217	30.43	0.65	111.25
20040218	28.22	0.88	96.87
20040219	22.18	0.92	87.43
20040220	25.53	0.82	97.38
20040221	20.46	0.98	73.82
20040222	16.84	1.13	50.12
20040223	20.49	0.93	73.58
20040224	20.79	0.88	73.96
20040225	20.14	0.97	69.06
20040226	19.55	0.98	74.57
20040227	21.07	1.15	75.26
20040228	19.54	1.20	64.91
20040229	22.02	1.23	69.86
20040301	23.67	1.10	85.06
20040302	19.72	1.07	79.17
20040303	23.11	0.96	81.90
20040304	22.61	0.97	79.88
20040305	22.17	0.93	79.81
20040306	26.30	1.05	81.25
20040307	26.09	1.15	77.21
20040308	27.75	0.97	98.62
20040309	29.18	1.03	104.25
20040310	23.62	1.23	81.99
20040311	22.98	1.11	88.48
20040312	21.00	1.10	81.10
20040313	20.32	1.24	65.79
20040314	20.99	1.27	65.43
20040315	23.57	1.09	89.04
20040316	26.38	1.02	97.50
20040317	28.11	1.03	104.11
20040318	26.21	1.16	97.12
20040319	24.49	1.13	93.61
20040320	25.29	1.51	80.67
20040321	19.70	1.59	52.53
20040322	21.17	1.36	73.52
20040323	19.11	1.30	72.31
20040324	17.84	1.27	70.70
20040325	19.41	1.21	73.08
20040326	16.80	1.22	60.34
20040327	18.13	1.14	60.65
20040328	21.47	1.16	62.62
20040329	23.26	1.18	83.59
20040330	21.03	1.26	72.37
20040331	26.56	1.44	100.79
20040401	25.35	1.67	84.28
20040402	26.04	1.63	90.13
20040403	26.00	1.80	76.91
20040404	22.90	2.07	56.74
20040405	23.20	2.17	67.21
20040406	25.71	2.10	93.95
20040407	28.30	1.96	108.08
20040408	28.87	1.61	116.71
20040409	28.14	1.98	99.23
20040410	26.15	2.15	78.85
20040411	23.87	1.97	64.49
20040412	26.79	1.96	89.80
20040413	27.81	1.76	96.70
20040414	28.45	1.87	99.53
20040415	27.00	2.24	87.71
20040416	26.38	2.02	98.86
20040417	25.21	2.15	88.08
20040418	23.49	2.33	67.55
20040419	24.87	2.19	82.71
20040420	23.22	2.03	71.76
20040421	22.00	2.15	69.87
20040422	22.97	1.86	82.48
20040423	26.03	1.66	95.92
20040424	27.70	2.08	86.77
20040425	25.49	2.16	76.80
20040426	32.65	1.70	130.57
20040427	30.22	2.22	109.06
20040428	22.85	2.36	80.71
20040429	22.81	2.35	78.92
20040430	26.62	1.99	94.45
20040501	27.91	2.00	86.78
20040502	26.94	1.99	76.75
20040503	29.64	1.85	108.57
20040504	27.89	2.05	106.44
20040505	27.61	2.09	108.47
20040506	27.49	2.16	114.11
20040507	26.90	1.99	108.95
20040508	22.72	2.28	72.26
20040509	22.89	2.44	68.08
20040510	23.57	2.23	81.30
20040511	22.93	2.19	87.96
20040512	25.02	2.04	97.75
20040513	26.70	2.04	102.78
20040514	26.82	1.87	99.91
20040515	23.71	2.10	73.42
20040516	20.77	1.89	58.93
20040517	20.93	1.89	65.89
20040518	21.96	1.73	68.77
20040519	23.56	1.66	81.86
20040520	21.23	2.04	71.10
20040521	21.79	1.94	76.83
20040522	20.83	2.34	59.31
20040523	19.82	2.35	53.57
20040524	19.49	2.25	63.27
20040525	19.83	2.16	71.00
20040526	20.49	1.88	72.29
20040527	23.18	1.92	81.34
20040528	21.75	1.94	76.41
20040529	18.36	2.09	53.91
20040530	23.00	2.27	68.86
20040531	22.39	2.19	66.51
20040601	23.07	2.01	82.20
20040602	23.61	1.80	89.73
20040603	22.96	1.85	85.16
20040604	26.45	1.96	97.56
20040605	24.09	2.17	74.52
20040606	21.17	2.10	53.82
20040607	24.70	2.18	76.95
20040608	23.65	2.14	74.42
20040609	22.30	2.00	74.64
20040610	21.93	1.78	76.25
20040611	21.85	1.76	82.11
20040612	20.71	2.21	65.10
20040613	19.22	2.24	56.70
20040614	22.53	2.10	79.59
20040615	25.89	2.06	94.61
20040616	25.29	1.84	86.19
20040617	24.46	1.85	82.88
20040618	23.42	2.19	73.56
20040619	19.20	2.17	53.60
20040620	18.01	2.17	53.05
20040621	22.95	2.24	84.83
20040622	23.16	1.98	83.52
20040623	23.43	2.20	84.81
20040624	25.15	2.47	88.72
20040625	22.67	2.16	90.68
20040626	22.22	2.23	71.81
20040627	20.44	2.18	66.57
20040628	22.11	1.89	87.74
20040629	20.79	1.99	78.88
20040630	23.32	1.98	95.91
20040701	24.67	2.05	95.30
20040702	24.22	2.12	89.88
20040703	20.21	2.01	57.29
20040704	20.60	2.10	51.89
20040705	20.30	2.14	53.84
20040706	22.06	1.85	74.15
20040707	22.14	1.79	78.08
20040708	22.25	1.80	73.62
20040709	21.03	1.80	76.18
20040710	22.69	2.05	74.96
20040711	23.60	2.25	65.63
20040712	22.91	1.92	78.09
20040713	24.74	2.04	78.07
20040714	23.34	2.00	82.11
20040715	22.61	1.89	85.12
20040716	23.06	1.87	91.71
20040717	23.11	2.06	77.97
20040718	20.75	1.94	62.00
20040719	22.36	1.94	83.40
20040720	23.16	2.02	93.27
20040721	24.94	2.36	97.58
20040722	23.10	2.33	85.36
20040723	22.08	2.05	75.08
20040724	19.41	2.02	53.07
20040725	18.85	2.05	50.42
20040726	21.06	1.87	72.31
20040727	22.31	1.83	77.65
20040728	22.20	1.94	80.00
20040729	22.64	2.02	84.78
20040730	22.92	1.72	83.60
20040731	19.80	1.75	57.50
20040801	20.74	1.98	56.00
20040802	22.29	2.01	75.56
20040803	24.63	2.11	89.42
20040804	23.71	2.20	82.27
20040805	19.34	1.92	69.10
20040806	18.34	1.70	74.19
20040807	19.94	1.77	71.66
20040808	20.50	1.97	68.32
20040809	22.30	2.04	88.23
20040810	24.71	2.29	92.78
20040811	22.25	2.07	83.51
20040812	21.62	1.76	82.08
20040813	21.40	1.76	82.48
20040814	22.91	1.82	77.33
20040815	22.85	1.86	66.59
20040816	25.26	1.81	96.36
20040817	25.44	2.06	99.28
20040818	25.12	2.11	99.04
20040819	23.17	1.79	87.77
20040820	26.10	1.87	95.94
20040821	22.39	1.67	71.39
20040822	21.08	1.61	63.37
20040823	23.66	1.57	85.69
20040824	23.76	1.63	79.22
20040825	22.23	1.74	75.83
20040826	21.97	1.80	79.33
20040827	25.81	1.74	92.18
20040828	28.14	1.96	83.97
20040829	21.65	1.81	60.07
20040830	23.79	1.53	82.42
20040831	27.89	1.76	101.95
20040901	30.38	1.80	118.06
20040902	30.47	2.03	114.50
20040903	27.34	2.04	99.38
20040904	30.25	2.01	103.88
20040905	30.73	2.36	88.45
20040906	25.93	2.18	77.63
20040907	28.44	1.76	100.68
20040908	28.08	1.61	95.52
20040909	25.10	1.56	85.56
20040910	29.48	1.61	105.62
20040911	28.40	1.66	97.84
20040912	26.29	1.90	83.11
20040913	24.74	1.76	89.53
20040914	22.34	1.62	79.66
20040915	22.35	1.46	86.99
20040916	24.54	1.48	92.24
20040917	25.28	1.62	89.66
20040918	20.33	1.90	59.22
20040919	16.34	1.75	49.60
20040920	21.30	1.50	86.30
20040921	29.24	1.36	123.50
20040922	33.26	1.73	136.98
20040923	33.93	1.72	145.89
20040924	37.21	1.66	141.60
20040925	31.02	1.86	105.38
20040926	26.76	1.83	89.80
20040927	30.26	1.80	108.90
20040928	24.34	1.70	87.84
20040929	22.56	1.51	85.91
20040930	28.14	1.43	108.57
20041001	27.93	1.42	104.60
20041002	27.42	1.46	89.08
20041003	26.22	1.53	79.48
20041004	29.26	1.48	105.28
20041005	27.83	1.16	101.36
20041006	35.51	1.20	124.36
20041007	37.60	1.26	144.28
20041008	41.50	1.30	144.94
20041009	28.37	1.54	95.89
20041010	20.31	1.40	64.83
20041011	24.40	1.26	87.96
20041012	27.11	1.13	104.72
20041013	29.55	1.02	123.48
20041014	32.48	0.86	126.32
20041015	28.85	1.37	107.42
20041016	19.88	1.44	69.37
20041017	17.76	1.35	57.54
20041018	22.68	1.00	87.88
20041019	21.22	0.91	76.37
20041020	21.00	0.77	78.07
20041021	23.98	0.71	82.98
20041022	24.94	0.88	89.67
20041023	26.59	1.09	80.92
20041024	24.22	1.06	78.02
20041025	28.80	0.86	97.11
20041026	26.67	0.96	87.63
20041027	24.63	0.92	86.56
20041028	26.61	0.87	89.20
20041029	29.25	0.83	102.43
20041030	30.13	1.02	89.30
20041031	24.11	1.40	71.64
20041101	18.04	0.73	70.88
20041102	22.71	0.67	82.48
20041103	23.36	0.81	73.97
20041104	19.39	0.77	72.00
20041105	24.67	0.71	86.00
20041106	25.36	0.77	83.59
20041107	23.48	0.77	75.17
20041108	20.79	0.83	71.19
20041109	20.25	0.72	75.10
20041110	24.04	0.66	79.67
20041111	21.87	0.64	75.09
20041112	21.90	0.63	70.54
20041113	21.35	0.65	63.25
20041114	21.79	0.66	59.51
20041115	29.22	0.46	88.21
20041116	35.12	0.46	100.50
20041117	38.64	0.48	111.02
20041118	36.46	0.48	109.34
20041119	31.42	0.57	96.55
20041120	20.20	0.87	60.83
20041121	14.25	0.80	44.58
20041122	21.42	0.48	76.42
20041123	25.30	0.47	77.55
20041124	29.59	0.53	87.99
20041125	23.73	0.73	66.15
20041126	22.16	0.74	66.25
20041127	20.83	0.83	56.16
20041128	11.42	0.96	35.19
20041129	17.66	0.60	67.02
20041130	28.98	0.42	93.04
20041201	33.23	0.48	101.67
20041202	33.36	0.49	98.37
20041203	30.55	0.50	97.11
20041204	31.52	0.58	97.01
20041205	19.09	0.76	62.30
20041206	24.43	0.70	74.05
20041207	25.51	0.64	78.04
20041208	23.28	0.58	72.98
20041209	29.58	0.45	88.64
20041210	33.52	0.43	87.93
20041211	29.40	0.44	80.88
20041212	27.27	0.67	69.14
20041213	26.44	0.58	83.89
20041214	32.64	0.55	92.86
20041215	37.77	0.51	107.19
20041216	32.28	0.56	96.68
20041217	30.78	0.48	101.37
20041218	33.30	0.46	98.02
20041219	30.07	0.53	88.48
20041220	28.37	0.61	85.10
20041221	25.92	0.51	97.39
20041222	32.57	0.57	103.23
20041223	24.90	0.76	79.37
20041224	24.84	0.63	79.39
20041225	30.90	0.60	78.05
20041226	25.07	0.71	71.54
20041227	22.50	0.88	74.01
20041228	21.55	0.74	76.59
20041229	22.64	0.79	75.28
20041230	24.52	0.84	70.69
20041231	24.67	0.81	71.64
20050101	24.78	0.73	59.42
20050102	21.34	0.67	57.44
20050103	20.92	0.51	70.75
20050104	22.91	0.48	76.44
20050105	25.00	0.49	76.36
20050106	29.04	0.50	85.48
20050107	22.07	0.74	72.03
20050108	19.79	0.82	60.28
20050109	21.51	0.59	65.27
20050110	24.37	0.60	71.05
20050111	17.57	0.83	58.23
20050112	25.17	0.59	78.02
20050113	31.65	0.43	93.73
20050114	31.34	0.51	93.58
20050115	28.19	0.53	84.55
20050116	26.44	0.56	82.52
20050117	26.85	0.56	84.28
20050118	25.04	0.51	83.88
20050119	28.72	0.46	99.20
20050120	28.09	0.42	101.56
20050121	28.09	0.47	93.94
20050122	25.23	0.60	80.80
20050123	23.36	0.75	66.81
20050124	25.83	0.62	87.09
20050125	25.82	0.52	93.81
20050126	20.43	0.65	75.97
20050127	19.15	0.78	65.80
20050128	19.07	0.75	66.55
20050129	17.96	0.76	62.78
20050130	19.59	0.61	63.76
20050131	26.01	0.52	82.01
20050201	26.47	0.64	92.77
20050202	23.60	0.66	89.34
20050203	23.41	0.66	89.13
20050204	23.83	0.63	90.44
20050205	22.65	0.78	82.88
20050206	16.74	1.00	53.83
20050207	20.99	0.74	77.14
20050208	24.95	0.54	89.73
20050209	26.78	0.61	92.61
20050210	21.64	0.68	82.58
20050211	17.09	0.74	75.70
20050212	15.44	0.92	60.05
20050213	16.93	0.97	56.31
20050214	20.42	0.75	78.23
20050215	23.38	0.63	80.57
20050216	23.70	0.65	79.45
20050217	23.49	0.61	77.41
20050218	17.58	0.84	64.38
20050219	16.18	0.99	53.14
20050220	13.73	1.03	38.98
20050221	14.78	0.84	48.90
20050222	16.75	0.83	62.19
20050223	16.60	0.86	60.37
20050224	18.76	0.85	61.55
20050225	20.55	0.83	71.72
20050226	16.75	0.96	59.71
20050227	15.81	1.07	52.55
20050228	18.94	0.99	76.86
20050301	19.27	1.02	76.48
20050302	18.16	1.01	73.30
20050303	17.23	1.02	64.61
20050304	19.72	1.05	74.92
20050305	21.61	1.01	77.88
20050306	21.38	1.17	71.70
20050307	24.03	1.06	83.72
20050308	21.62	1.13	80.97
20050309	23.73	1.00	87.70
20050310	25.94	1.08	102.04
20050311	26.30	1.21	96.21
20050312	19.34	1.61	63.13
20050313	15.26	1.60	41.46
20050314	17.25	1.31	60.86
20050315	21.06	1.24	82.82
20050316	22.71	1.21	94.80
20050317	20.09	1.21	92.05
20050318	17.97	1.31	84.24
20050319	15.11	1.43	52.84
20050320	15.44	1.43	51.74
20050321	17.23	1.24	61.69
20050322	16.46	1.17	58.14
20050323	15.01	1.34	49.82
20050324	16.09	1.18	59.48
20050325	17.54	1.09	67.24
20050326	18.80	1.09	67.96
20050327	19.05	1.33	62.76
20050328	16.14	1.45	62.67
20050329	14.44	1.51	51.68
20050330	16.55	1.30	70.77
20050331	25.80	1.82	110.41
20050401	26.94	2.11	117.48
20050402	25.74	2.29	96.88
20050403	22.45	2.59	73.05
20050404	21.64	2.40	92.36
20050405	31.34	2.02	143.92
20050406	35.55	2.18	165.53
20050407	27.86	2.24	115.69
20050408	22.68	2.34	88.29
20050409	20.82	2.40	75.90
20050410	23.88	2.31	90.50
20050411	25.18	2.31	96.10
20050412	24.35	2.10	103.45
20050413	23.18	2.15	102.91
20050414	25.82	2.27	115.74
20050415	30.10	2.12	128.89
20050416	33.53	2.27	125.08
20050417	28.49	2.61	105.14
20050418	27.43	2.55	113.70
20050419	24.23	2.42	112.02
20050420	24.17	2.40	106.88
20050421	24.57	1.96	102.36
20050422	26.44	2.00	118.28
20050423	19.97	2.21	63.91
20050424	16.04	2.16	48.07
20050425	19.22	1.87	79.94
20050426	23.31	2.19	99.60
20050427	20.41	2.14	84.54
20050428	19.32	2.13	78.00
20050429	21.69	1.96	95.39
20050430	23.66	1.98	87.94
20050501	20.96	2.23	64.83
20050502	21.46	1.84	84.43
20050503	23.09	1.80	94.20
20050504	25.94	1.84	113.23
20050505	23.03	2.21	99.03
20050506	21.26	2.40	98.67
20050507	20.86	2.57	81.94
20050508	20.31	2.54	64.41
20050509	21.33	2.27	92.15
20050510	21.88	2.41	88.34
20050511	23.54	2.22	101.14
20050512	23.67	2.14	96.26
20050513	23.87	2.31	104.63
20050514	22.64	2.40	79.29
20050515	19.39	2.23	62.87
20050516	19.79	2.21	78.22
20050517	19.85	2.24	86.29
20050518	22.00	2.11	100.08
20050519	23.58	2.10	101.39
20050520	23.40	2.00	94.69
20050521	27.76	2.24	95.19
20050522	24.49	2.42	73.14
20050523	22.28	1.99	91.01
20050524	21.10	1.90	82.03
20050525	21.03	2.02	83.91
20050526	21.74	2.04	88.94
20050527	22.33	2.30	92.05
20050528	20.78	2.36	72.36
20050529	17.48	2.34	50.83
20050530	19.09	2.14	61.49
20050531	22.08	2.14	87.41
20050601	20.93	2.47	81.30
20050602	20.30	2.29	72.53
20050603	19.40	1.98	73.24
20050604	18.96	2.18	63.79
20050605	19.09	2.33	56.72
20050606	20.76	2.19	79.99
20050607	19.37	2.31	82.02
20050608	22.48	2.23	93.79
20050609	20.98	1.75	78.56
20050610	20.00	1.78	69.26
20050611	19.56	2.04	59.23
20050612	19.02	2.15	53.45
20050613	21.05	2.10	78.15
20050614	20.47	2.42	79.11
20050615	19.07	2.26	72.24
20050616	18.77	1.95	73.14
20050617	17.22	1.81	69.04
20050618	18.71	1.70	61.22
20050619	18.69	1.87	56.59
20050620	21.55	2.04	89.03
20050621	22.67	2.45	100.68
20050622	23.01	2.27	96.16
20050623	20.85	2.47	89.89
20050624	22.43	2.80	90.65
20050625	19.78	2.80	70.28
20050626	19.02	2.62	60.70
20050627	20.96	2.16	77.54
20050628	20.22	2.12	80.23
20050629	23.28	2.08	94.96
20050630	24.17	2.36	99.85
20050701	23.45	2.10	89.09
20050702	20.10	2.21	66.52
20050703	19.38	2.31	59.17
20050704	21.13	2.36	63.46
20050705	22.36	2.00	80.67
20050706	21.68	1.97	80.18
20050707	21.69	1.84	78.04
20050708	22.49	1.81	79.88
20050709	22.46	2.16	75.41
20050710	21.56	2.22	66.78
20050711	24.84	2.10	97.65
20050712	24.90	2.18	95.70
20050713	22.97	1.96	87.42
20050714	22.72	1.95	88.48
20050715	24.27	1.99	89.56
20050716	23.66	2.14	69.33
20050717	20.74	2.13	54.66
20050718	23.12	2.09	74.53
20050719	24.26	2.05	91.01
20050720	24.03	2.20	96.44
20050721	25.48	2.15	97.78
20050722	25.89	2.27	97.50
20050723	21.96	2.06	74.39
20050724	20.41	2.31	60.94
20050725	22.57	2.20	82.99
20050726	23.98	2.39	84.48
20050727	22.84	2.08	78.28
20050728	21.40	1.93	77.59
20050729	23.24	2.15	94.49
20050730	20.36	2.22	74.93
20050731	19.74	2.29	59.91
20050801	21.72	2.20	91.11
20050802	22.37	2.29	101.18
20050803	22.89	2.26	102.06
20050804	23.33	2.42	103.16
20050805	21.91	2.20	99.32
20050806	20.10	2.18	79.41
20050807	20.94	2.36	74.17
20050808	22.24	1.92	107.09
20050809	21.44	1.88	100.24
20050810	21.26	2.02	93.64
20050811	22.36	2.29	100.20
20050812	23.26	2.49	96.66
20050813	20.20	2.57	65.42
20050814	18.94	2.23	54.46
20050815	21.11	1.85	77.55
20050816	23.34	1.71	95.98
20050817	23.42	1.98	97.63
20050818	20.88	2.03	83.31
20050819	20.50	1.93	82.44
20050820	20.56	2.03	72.96
20050821	20.06	2.09	66.86
20050822	21.68	1.88	92.28
20050823	20.50	1.75	88.39
20050824	21.76	1.76	93.33
20050825	24.75	1.96	108.95
20050826	25.93	2.07	121.83
20050827	24.17	1.95	90.49
20050828	23.73	1.93	78.97
20050829	24.82	1.64	101.75
20050830	23.11	1.58	91.61
20050831	21.42	1.88	82.84
20050901	23.25	1.88	104.66
20050902	27.07	2.20	112.10
20050903	23.63	1.99	84.03
20050904	23.05	2.02	74.13
20050905	22.60	2.11	76.13
20050906	26.98	1.98	114.28
20050907	26.06	2.06	116.94
20050908	24.23	2.27	114.66
20050909	23.27	1.98	112.75
20050910	22.16	2.07	84.77
20050911	19.87	2.05	68.61
20050912	22.41	2.05	106.41
20050913	24.69	2.13	109.03
20050914	25.35	1.54	98.73
20050915	26.15	1.66	96.81
20050916	26.36	1.67	87.99
20050917	27.50	1.78	84.63
20050918	26.00	1.73	81.59
20050919	29.70	1.88	118.83
20050920	28.03	1.85	115.19
20050921	28.50	1.77	125.80
20050922	31.58	2.17	130.91
20050923	26.52	1.97	100.80
20050924	23.05	1.83	73.20
20050925	25.91	1.76	82.52
20050926	27.92	1.63	101.97
20050927	27.90	1.55	106.23
20050928	32.17	1.82	125.32
20050929	33.80	1.55	120.22
20050930	34.72	1.46	145.56
20051001	28.62	1.63	106.24
20051002	24.75	1.85	83.72
20051003	27.36	1.64	104.32
20051004	26.49	1.51	101.47
20051005	29.94	1.39	114.89
20051006	29.25	1.19	112.98
20051007	26.45	1.29	97.28
20051008	18.26	1.33	61.65
20051009	19.25	1.30	61.88
20051010	25.45	1.06	98.82
20051011	26.18	1.07	104.25
20051012	32.16	1.25	114.39
20051013	35.34	1.22	137.75
20051014	33.44	1.43	127.29
20051015	26.27	1.79	84.94
20051016	23.06	1.63	73.62
20051017	29.24	1.31	117.87
20051018	27.69	1.32	117.87
20051019	29.98	1.37	114.44
20051020	30.33	1.11	114.16
20051021	32.81	1.03	126.86
20051022	29.35	1.31	100.33
20051023	25.58	1.42	75.70
20051024	26.98	1.14	95.72
20051025	22.19	1.10	89.32
20051026	28.41	1.12	108.32
20051027	29.29	1.09	120.76
20051028	32.51	1.05	122.26
20051029	31.49	1.21	108.18
20051030	32.10	1.33	112.25
20051031	46.36	1.02	173.34
20051101	33.97	0.82	120.84
20051102	29.57	0.99	97.93
20051103	25.53	1.08	92.25
20051104	24.48	1.02	89.21
20051105	28.81	0.93	94.20
20051106	29.25	0.92	84.21
20051107	27.92	0.89	94.48
20051108	25.42	0.86	88.96
20051109	21.96	0.83	82.12
20051110	23.52	0.86	84.28
20051111	20.45	0.93	71.39
20051112	28.72	0.79	83.23
20051113	28.03	0.91	78.51
20051114	28.95	0.77	94.45
20051115	25.59	0.78	82.62
20051116	27.43	0.72	89.97
20051117	36.01	0.67	109.95
20051118	32.07	0.79	104.51
20051119	36.28	0.73	111.68
20051120	31.53	0.79	100.69
20051121	38.82	0.63	126.56
20051122	39.20	0.63	118.72
20051123	40.46	0.61	120.84
20051124	29.92	0.82	88.82
20051125	24.88	0.90	76.57
20051126	19.09	1.06	58.41
20051127	22.04	0.94	60.55
20051128	28.22	0.71	90.03
20051129	29.05	0.72	92.02
20051130	30.55	0.58	94.10
20051201	26.88	0.62	86.86
20051202	25.52	0.64	82.50
20051203	20.39	0.85	63.50
20051204	24.43	0.72	74.02
20051205	33.48	0.49	98.06
20051206	36.20	0.47	101.39
20051207	36.33	0.48	106.29
20051208	34.05	0.48	115.65
20051209	34.34	0.50	112.77
20051210	36.51	0.47	113.33
20051211	39.34	0.49	107.94
20051212	42.43	0.48	116.53
20051213	40.41	0.60	109.96
20051214	37.09	0.53	108.58
20051215	31.48	0.55	102.86
20051216	31.11	0.59	96.84
20051217	25.25	0.61	81.53
20051218	25.00	0.73	74.99
20051219	37.55	0.43	104.43
20051220	35.58	0.38	112.24
20051221	38.17	0.39	120.22
20051222	32.26	0.45	106.74
20051223	29.97	0.46	99.01
20051224	31.78	0.54	92.92
20051225	26.35	0.72	72.17
20051226	20.25	0.78	67.75
20051227	22.74	0.70	81.63
20051228	28.08	0.67	91.67
20051229	27.84	0.55	99.32
20051230	28.43	0.68	89.51
20051231	26.70	0.78	75.43
20060101	26.90	0.93	65.95
20060102	25.24	0.96	66.24
20060103	30.52	0.81	92.52
20060104	37.80	0.63	115.85
20060105	34.08	0.73	103.97
20060106	37.95	0.74	108.93
20060107	36.23	0.95	99.28
20060108	35.74	0.89	92.92
20060109	37.47	0.74	114.56
20060110	42.58	0.57	127.18
20060111	45.46	0.59	133.06
20060112	43.56	0.65	127.91
20060113	41.60	0.84	117.52
20060114	30.46	1.16	82.19
20060115	19.69	1.41	53.32
20060116	28.68	0.85	94.57
20060117	41.90	0.81	126.04
20060118	33.08	1.02	99.65
20060119	26.12	0.94	93.44
20060120	37.06	0.70	118.24
20060121	34.35	0.86	98.18
20060122	28.13	1.05	81.30
20060123	29.49	0.86	100.61
20060124	31.17	0.89	107.05
20060125	32.12	1.03	102.92
20060126	27.61	1.12	91.34
20060127	31.34	0.96	110.66
20060128	32.11	0.96	104.66
20060129	31.55	1.01	89.19
20060130	38.17	0.90	119.71
20060131	34.40	0.89	107.72
20060201	34.86	0.83	112.82
20060202	33.12	0.82	109.25
20060203	34.49	0.85	110.76
20060204	31.04	1.02	95.30
20060205	29.14	1.15	82.81
20060206	28.53	1.02	99.40
20060207	36.47	0.89	121.78
20060208	42.97	0.87	134.49
20060209	35.76	1.00	126.21
20060210	34.48	0.96	126.66
20060211	36.57	0.98	117.08
20060212	32.55	1.09	100.32
20060213	40.70	0.93	134.95
20060214	35.38	1.23	116.56
20060215	24.49	1.35	91.98
20060216	28.25	1.26	108.49
20060217	25.05	1.28	88.17
20060218	22.27	1.36	64.13
20060219	20.88	1.26	65.41
20060220	28.29	1.03	97.75
20060221	30.09	1.01	114.63
20060222	35.38	0.83	134.89
20060223	38.26	0.93	138.03
20060224	34.57	1.23	123.93
20060225	34.11	1.36	119.66
20060226	30.49	1.64	100.76
20060227	28.51	1.43	113.12
20060228	23.18	1.34	88.45
20060301	26.23	1.29	97.57
20060302	28.94	1.24	111.47
20060303	24.46	1.50	82.48
20060304	25.72	1.56	80.45
20060305	27.28	1.65	80.70
20060306	29.28	1.29	110.90
20060307	20.92	1.61	76.17
20060308	22.23	1.38	86.86
20060309	21.91	1.70	82.27
20060310	18.67	1.87	58.80
20060311	19.84	1.73	58.56
20060312	21.02	1.44	60.76
20060313	27.56	1.43	84.82
20060314	24.79	1.64	87.28
20060315	22.82	1.68	75.90
20060316	26.79	1.55	90.08
20060317	23.85	1.61	81.22
20060318	19.47	1.85	52.76
20060319	19.41	1.81	46.75
20060320	20.25	1.77	62.04
20060321	22.14	1.58	74.71
20060322	28.93	1.43	94.67
20060323	29.62	1.45	100.62
20060324	31.57	1.45	111.93
20060325	25.99	1.77	78.28
20060326	21.35	1.87	58.99
20060327	23.14	1.79	77.87
20060328	22.81	1.53	90.29
20060329	22.08	1.58	83.62
20060330	23.36	1.67	90.14
20060331	30.88	2.67	124.29
20060401	27.19	2.49	79.25
20060402	31.15	2.53	91.20
20060403	36.96	2.24	133.73
20060404	30.16	2.60	102.09
20060405	27.42	2.71	93.64
20060406	32.31	2.24	124.55
20060407	35.18	2.37	138.47
20060408	30.29	2.44	95.83
20060409	29.00	2.56	91.25
20060410	30.93	2.42	129.25
20060411	31.63	2.58	137.39
20060412	33.69	2.57	132.53
20060413	36.39	2.33	141.35
20060414	33.86	2.28	133.53
20060415	27.75	2.97	75.76
20060416	26.32	2.92	59.65
20060417	27.26	2.66	82.79
20060418	30.76	2.47	108.67
20060419	33.42	2.51	121.82
20060420	34.27	2.45	135.31
20060421	32.72	2.60	116.50
20060422	27.60	2.70	77.20
20060423	27.08	2.60	66.69
20060424	30.62	2.28	106.53
20060425	31.38	2.37	110.35
20060426	27.55	2.36	98.07
20060427	31.15	2.63	120.15
20060428	28.19	2.74	99.88
20060429	29.26	2.73	97.74
20060430	30.37	2.92	89.97
20060501	30.10	2.82	111.91
20060502	28.79	2.76	115.62
20060503	26.04	2.64	99.48
20060504	27.66	2.87	103.56
20060505	28.12	2.80	108.49
20060506	25.63	2.82	78.79
20060507	23.19	2.76	69.33
20060508	24.89	2.60	94.11
20060509	26.53	2.60	108.77
20060510	28.87	2.81	118.66
20060511	25.83	2.59	96.88
20060512	27.63	2.72	104.71
20060513	24.65	2.89	84.46
20060514	24.50	2.93	71.08
20060515	25.80	2.39	97.26
20060516	28.85	2.23	114.64
20060517	26.46	2.53	118.32
20060518	27.36	2.62	116.39
20060519	27.20	2.39	108.84
20060520	25.33	2.64	84.89
20060521	22.11	2.68	68.58
20060522	21.48	2.59	71.53
20060523	25.86	2.51	101.11
20060524	27.84	2.59	128.23
20060525	28.47	2.79	130.88
20060526	27.62	2.57	114.86
20060527	24.82	2.83	76.14
20060528	24.33	2.78	71.15
20060529	28.10	2.89	93.36
20060530	31.82	2.91	121.41
20060531	29.64	2.61	118.03
20060601	28.79	2.46	118.69
20060602	31.37	2.32	124.82
20060603	29.31	2.47	98.58
20060604	24.41	2.46	74.33
20060605	26.00	2.28	100.08
20060606	27.49	2.62	110.18
20060607	24.87	2.65	101.42
